id,path,language,duration_bucket,duration_sec,content_type,resolution,fps,audio_condition,source_license
en_short_talking_head,./input/en_short_talking_head.mp4,en,short,208.306009,talking_head,1280x720,30,clean,mixed
en_short_slide-centric,./input/en_short_slide-centric.mp4,en,short,173.058005,slide-centric,1280x720,30,clean,mixed
en_short_screencast,./input/en_short_screencast.mp4,en,short,186.083991,screencast,1280x720,30,clean,mixed
en_short_practical_demo,./input/en_short_practical_demo.mp4,en,short,119.745011,practical_demo,1280x720,30,clean,mixed
en_medium_talking_head,./input/en_medium_talking_head.mp4,en,medium,309.615011,talking_head,1280x720,30,clean,mixed
en_medium_slide-centric,./input/en_medium_slide-centric.mp4,en,medium,477.89,slide-centric,1280x720,30,clean,mixed
en_medium_screencast,./input/en_medium_screencast.mp4,en,medium,349.622993,screencast,1280x720,30,clean,mixed
en_medium_practical_demo,./input/en_medium_practical_demo.mp4,en,medium,327.191995,practical_demo,1280x720,30,clean,mixed
en_long_talking_head,./input/en_long_talking_head.mp4,en,long,1026.09,talking_head,1280x720,30,clean,mixed
en_long_slide-centric,./input/en_long_slide-centric.mp4,en,long,875.043991,slide-centric,1280x720,30,clean,mixed
en_long_screencast,./input/en_long_screencast.mp4,en,long,720.538005,screencast,1280x720,30,clean,mixed
en_long_practical_demo,./input/en_long_practical_demo.mp4,en,long,1183.637007,practical_demo,1280x720,30,clean,mixed
ru_short_talking_head,./input/ru_short_talking_head.mp4,ru,short,177.631995,talking_head,1280x720,30,clean,mixed
ru_short_slide-centric,./input/ru_short_slide-centric.mp4,ru,short,79.226009,slide-centric,1280x720,30,clean,mixed
ru_short_screencast,./input/ru_short_screencast.mp4,ru,short,145.31,screencast,1280x720,30,clean,mixed
ru_short_practical_demo,./input/ru_short_practical_demo.mp4,ru,short,181.348005,practical_demo,1280x720,30,clean,mixed
ru_medium_talking_head,./input/ru_medium_talking_head.mp4,ru,medium,347.392993,talking_head,1280x720,30,clean,mixed
ru_medium_slide-centric,./input/ru_medium_slide-centric.mp4,ru,medium,308.895011,slide-centric,1280x720,30,clean,mixed
ru_medium_screencast,./input/ru_medium_screencast.mp4,ru,medium,537.773991,screencast,1280x720,30,clean,mixed
ru_medium_practical_demo,./input/ru_medium_practical_demo.mp4,ru,medium,444.173991,practical_demo,1280x720,30,clean,mixed
ru_long_talking_head,./input/ru_long_talking_head.mp4,ru,long,913.658005,talking_head,1280x720,30,clean,mixed
ru_long_slide-centric,./input/ru_long_slide-centric.mp4,ru,long,832.063991,slide-centric,1280x720,30,clean,mixed
ru_long_screencast,./input/ru_long_screencast.mp4,ru,long,976.233333,screencast,1280x720,30,clean,mixed
ru_long_practical_demo,./input/ru_long_practical_demo.mp4,ru,long,956.29,practical_demo,1280x720,30,clean,mixed
