strategy,strategy_description,n_videos,mean_scene_count,median_scene_count,mean_coverage_15s_pct,median_coverage_15s_pct,mean_scene_reduction_vs_adaptive_pct,content_type
adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,6,29.83,22.50,90.36,94.98,0.00,talking_head
static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,6,10.00,10.00,68.56,81.83,53.30,talking_head
static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,6,18.00,20.00,83.16,94.11,23.18,talking_head
static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,6,22.17,22.50,86.93,94.98,12.57,talking_head
uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,6,8.67,6.00,50.80,51.91,69.27,talking_head
uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,6,16.83,11.50,98.75,99.90,41.28,talking_head
adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,6,33.67,24.50,87.29,98.03,0.00,slide-centric
static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,6,8.83,9.50,58.59,53.91,40.92,slide-centric
static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,6,13.83,14.50,74.69,74.30,31.85,slide-centric
static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,6,18.83,19.50,82.77,87.68,22.77,slide-centric
uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,6,8.00,7.00,52.24,51.16,65.98,slide-centric
uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,6,15.50,13.50,99.01,99.06,37.02,slide-centric
adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,6,39.00,21.00,94.58,98.05,0.00,screencast
static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,6,10.00,10.00,65.38,67.71,45.33,screencast
static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,6,15.67,16.00,83.97,91.44,29.55,screencast
static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,6,20.67,21.00,91.92,94.82,19.33,screencast
uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,6,8.50,7.50,51.40,51.54,69.12,screencast
uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,6,16.50,15.00,99.67,99.75,41.44,screencast
adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,6,51.83,36.00,94.54,99.87,0.00,practical_demo
static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,6,10.00,10.00,62.63,62.41,66.10,practical_demo
static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,6,19.00,20.00,79.20,83.94,39.34,practical_demo
static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,6,24.67,26.50,87.12,89.10,29.56,practical_demo
uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,6,9.33,7.00,49.86,51.72,81.23,practical_demo
uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,6,18.17,13.00,97.52,98.63,64.33,practical_demo
