vid_id,language,duration_bucket,content_type,strategy,strategy_description,video_duration_sec,scene_count,adaptive_scene_count,scene_reduction_vs_adaptive_pct,coverage_15s_pct
en_short_talking_head,en,short,talking_head,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,197.34,22,22,0.00,99.83
en_short_talking_head,en,short,talking_head,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,197.34,10,22,54.55,95.77
en_short_talking_head,en,short,talking_head,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,197.34,20,22,9.09,99.83
en_short_talking_head,en,short,talking_head,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,197.34,22,22,0.00,99.83
en_short_talking_head,en,short,talking_head,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,197.34,4,22,81.82,55.23
en_short_talking_head,en,short,talking_head,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,197.34,7,22,68.18,99.32
en_short_slide-centric,en,short,slide-centric,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,159.25,9,9,0.00,81.00
en_short_slide-centric,en,short,slide-centric,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,159.25,9,9,0.00,81.00
en_short_slide-centric,en,short,slide-centric,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,159.25,9,9,0.00,81.00
en_short_slide-centric,en,short,slide-centric,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,159.25,9,9,0.00,81.00
en_short_slide-centric,en,short,slide-centric,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,159.25,3,9,66.67,48.98
en_short_slide-centric,en,short,slide-centric,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,159.25,6,9,33.33,99.84
en_short_screencast,en,short,screencast,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,185.72,12,12,0.00,94.77
en_short_screencast,en,short,screencast,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,185.72,10,12,16.67,93.15
en_short_screencast,en,short,screencast,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,185.72,12,12,0.00,94.77
en_short_screencast,en,short,screencast,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,185.72,12,12,0.00,94.77
en_short_screencast,en,short,screencast,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,185.72,4,12,66.67,52.77
