vid_id,language,duration_bucket,content_type,video_duration_sec,b0_asr_sec,b0_rtf,b1_total_sec,b1_rtf,asr_confidence,low_conf_ratio,overlap_ratio,scene_count,scene_density_per_min,tail_uncovered_sec,coverage_15s_pct
en_short_talking_head,en,short,talking_head,197.34,35.65,0.1807,99.16,0.5025,0.9458,0.024,0.0,22,6.69,14.41,99.8
en_short_slide-centric,en,short,slide-centric,159.25,23.26,0.1461,56.46,0.3545,0.9619,0.0092,0.0,9,3.39,0,81.0
en_short_screencast,en,short,screencast,185.72,30.1,0.1621,75.28,0.4053,0.9526,0.0203,0.0,12,3.88,6.95,94.8
en_short_practical_demo,en,short,practical_demo,117.0,25.67,0.2194,59.78,0.5109,0.9705,0.0058,0.0,14,7.18,3.77,100.0
en_medium_talking_head,en,medium,talking_head,303.02,35.78,0.1181,71.91,0.2373,0.9649,0.0151,0.0,11,2.18,3.02,100.0
en_medium_slide-centric,en,medium,slide-centric,477.86,79.25,0.1658,167.86,0.3513,0.9465,0.0275,0.0,40,5.02,21.89,97.3
en_medium_screencast,en,medium,screencast,349.19,66.93,0.1917,112.86,0.3232,0.9584,0.0221,0.0,12,2.06,19.19,99.1
en_medium_practical_demo,en,medium,practical_demo,324.64,40.62,0.1251,99.75,0.3073,0.9396,0.0306,0.0,21,3.88,73.21,71.5
en_long_talking_head,en,long,talking_head,990.68,104.91,0.1059,424.91,0.4289,0.8273,0.123,0.0,69,4.18,0,78.7
en_long_slide-centric,en,long,slide-centric,866.48,120.22,0.1387,285.21,0.3292,0.9668,0.0139,0.0,80,5.54,0,99.1
en_long_screencast,en,long,screencast,706.16,122.9,0.174,221.51,0.3137,0.9734,0.0058,0.0,30,2.55,0,77.6
en_long_practical_demo,en,long,practical_demo,1173.51,195.79,0.1668,429.17,0.3657,0.9625,0.0169,0.0,123,6.29,0,100.0
ru_short_talking_head,ru,short,talking_head,177.61,39.57,0.2228,103.77,0.5843,0.9326,0.0209,0.0,17,5.74,2.91,99.7
ru_short_slide-centric,ru,short,slide-centric,75.96,17.54,0.2309,51.25,0.6747,0.9478,0.0319,0.0,6,4.74,5.03,98.7
ru_short_screencast,ru,short,screencast,124.56,21.57,0.1732,67.63,0.543,0.8877,0.0472,0.0,10,4.82,0,97.9
ru_short_practical_demo,ru,short,practical_demo,181.13,36.66,0.2024,108.38,0.5984,0.9592,0.0159,0.0,23,7.62,0.1,99.9
ru_medium_talking_head,ru,medium,talking_head,345.5,78.05,0.2259,157.47,0.4558,0.9514,0.0219,0.0,23,3.99,16.57,90.3
ru_medium_slide-centric,ru,medium,slide-centric,308.5,58.96,0.1911,100.13,0.3246,0.9421,0.0199,0.0,8,1.56,0,48.0
ru_medium_screencast,ru,medium,screencast,517.54,108.51,0.2097,220.49,0.426,0.9385,0.0281,0.0,51,5.91,3.91,98.2
ru_medium_practical_demo,ru,medium,practical_demo,443.88,86.8,0.1955,218.08,0.4913,0.9387,0.0242,0.0,49,6.62,12.31,99.8
ru_long_talking_head,ru,long,talking_head,913.63,159.94,0.1751,248.89,0.2724,0.9377,0.0265,0.0,37,2.43,4.56,73.7
ru_long_slide-centric,ru,long,slide-centric,831.5,263.14,0.3165,429.05,0.516,0.9391,0.0233,0.0,59,4.26,3.97,99.6
ru_long_screencast,ru,long,screencast,969.82,360.44,0.3717,640.48,0.6604,0.9242,0.0318,0.0,119,7.36,0,99.9
ru_long_practical_demo,ru,long,practical_demo,955.2,205.7,0.2153,402.86,0.4218,0.9495,0.0212,0.0,81,5.09,3.97,96.1
